data,kwarantanna,hospitalizowani,potwierdzeni,ozdrowieńcy,aktywni
2020-09-03,118.0,6.0,150.0,,
2020-09-02,113.0,6.0,148.0,,
2020-09-01,120.0,6.0,143.0,,
2020-08-31,159.0,6.0,143.0,95.0,48.0
2020-08-30,142.0,6.0,142.0,94.0,48.0
2020-08-29,135.0,5.0,137.0,94.0,43.0
2020-08-28,144.0,5.0,134.0,94.0,40.0
2020-08-27,175.0,6.0,133.0,91.0,42.0
2020-08-26,147.0,5.0,130.0,90.0,40.0
2020-08-25,116.0,5.0,128.0,90.0,38.0
2020-08-24,88.0,5.0,127.0,89.0,38.0
2020-08-23,85.0,5.0,124.0,88.0,36.0
2020-08-22,85.0,5.0,123.0,87.0,36.0
2020-08-21,80.0,5.0,121.0,87.0,34.0
2020-08-20,73.0,4.0,119.0,86.0,33.0
2020-08-19,66.0,3.0,116.0,86.0,30.0
2020-08-18,55.0,2.0,114.0,86.0,28.0
2020-08-17,62.0,2.0,111.0,83.0,28.0
2020-08-16,56.0,2.0,109.0,82.0,27.0
2020-08-15,50.0,2.0,107.0,80.0,27.0
2020-08-14,51.0,2.0,105.0,79.0,26.0
2020-08-13,62.0,1.0,99.0,77.0,22.0
2020-08-11,66.0,1.0,98.0,76.0,22.0
2020-08-10,60.0,2.0,98.0,75.0,23.0
2020-08-09,112.0,2.0,98.0,73.0,25.0
2020-08-08,108.0,2.0,96.0,68.0,28.0
2020-08-07,112.0,2.0,94.0,68.0,26.0
2020-08-06,111.0,2.0,94.0,68.0,26.0
2020-08-05,95.0,2.0,93.0,65.0,28.0
2020-08-04,87.0,2.0,92.0,62.0,30.0
2020-08-03,78.0,3.0,92.0,59.0,33.0
2020-08-02,83.0,3.0,91.0,59.0,32.0
2020-08-01,93.0,3.0,90.0,59.0,31.0
2020-07-31,125.0,6.0,89.0,59.0,30.0
2020-07-30,138.0,6.0,89.0,58.0,31.0
2020-07-29,123.0,4.0,88.0,58.0,30.0
2020-07-28,120.0,3.0,87.0,58.0,29.0
2020-07-27,138.0,3.0,87.0,58.0,29.0
2020-07-26,129.0,2.0,85.0,56.0,29.0
2020-07-24,104.0,2.0,82.0,56.0,26.0
2020-07-23,91.0,2.0,81.0,56.0,25.0
2020-07-22,86.0,2.0,74.0,56.0,18.0
2020-07-21,102.0,2.0,74.0,56.0,18.0
2020-07-20,98.0,2.0,74.0,56.0,18.0
2020-07-19,96.0,2.0,73.0,56.0,17.0
2020-07-18,81.0,2.0,73.0,56.0,17.0
2020-07-17,75.0,1.0,71.0,55.0,16.0
2020-07-16,42.0,1.0,68.0,55.0,13.0
2020-07-15,43.0,1.0,67.0,55.0,12.0
2020-07-14,22.0,1.0,66.0,54.0,12.0
2020-07-13,24.0,1.0,66.0,54.0,12.0
2020-07-12,18.0,0.0,65.0,54.0,11.0
2020-07-11,16.0,0.0,61.0,54.0,7.0
2020-07-10,28.0,0.0,61.0,54.0,7.0
2020-07-09,33.0,0.0,61.0,54.0,7.0
2020-07-08,34.0,1.0,61.0,54.0,7.0
2020-07-07,33.0,2.0,61.0,54.0,7.0
2020-07-06,43.0,2.0,61.0,54.0,7.0
2020-07-05,37.0,2.0,61.0,54.0,7.0
2020-07-04,32.0,2.0,61.0,54.0,7.0
2020-07-03,60.0,2.0,61.0,54.0,7.0
2020-07-02,60.0,3.0,60.0,52.0,8.0
2020-07-01,74.0,3.0,60.0,52.0,8.0
2020-06-30,75.0,3.0,60.0,50.0,10.0
2020-06-29,82.0,3.0,60.0,50.0,10.0
2020-06-28,84.0,5.0,60.0,47.0,13.0
2020-06-27,81.0,5.0,60.0,43.0,17.0
2020-06-26,75.0,4.0,60.0,43.0,17.0
2020-06-25,38.0,5.0,60.0,42.0,18.0
2020-06-24,45.0,5.0,60.0,42.0,18.0
2020-06-23,37.0,5.0,59.0,42.0,17.0
2020-06-22,45.0,4.0,59.0,42.0,17.0
2020-06-21,46.0,4.0,59.0,41.0,18.0
2020-06-20,43.0,4.0,59.0,39.0,20.0
2020-06-19,46.0,5.0,58.0,38.0,20.0
2020-06-18,56.0,5.0,58.0,38.0,20.0
2020-06-17,61.0,5.0,56.0,37.0,19.0
2020-06-16,68.0,4.0,55.0,37.0,18.0
2020-06-15,80.0,3.0,54.0,35.0,19.0
2020-06-14,69.0,2.0,52.0,35.0,17.0
2020-05-13,74.0,3.0,52.0,35.0,17.0
2020-06-12,80.0,3.0,52.0,35.0,17.0
2020-06-11,73.0,2.0,51.0,33.0,18.0
2020-06-10,79.0,2.0,50.0,32.0,18.0
2020-06-09,79.0,2.0,50.0,32.0,18.0
2020-06-08,80.0,2.0,50.0,32.0,18.0
2020-06-06,84.0,2.0,50.0,32.0,18.0
2020-06-05,78.0,1.0,50.0,32.0,18.0
2020-06-04,64.0,1.0,46.0,32.0,14.0
2020-06-03,58.0,2.0,45.0,32.0,13.0
2020-06-02,71.0,3.0,45.0,32.0,13.0
2020-06-01,80.0,2.0,43.0,30.0,13.0
2020-05-31,81.0,1.0,43.0,30.0,13.0
2020-05-30,80.0,1.0,43.0,30.0,13.0
2020-05-29,87.0,1.0,40.0,30.0,10.0
2020-05-28,72.0,1.0,39.0,29.0,10.0
2020-05-27,72.0,1.0,39.0,28.0,11.0
2020-05-26,85.0,1.0,39.0,27.0,12.0
2020-05-25,97.0,0.0,39.0,26.0,13.0
2020-05-24,81.0,0.0,38.0,26.0,12.0
2020-05-23,77.0,0.0,38.0,26.0,12.0
2020-05-22,68.0,0.0,35.0,26.0,9.0
2020-05-21,75.0,0.0,35.0,26.0,9.0
2020-05-20,76.0,0.0,35.0,26.0,9.0
2020-05-19,79.0,3.0,35.0,24.0,11.0
2020-05-18,83.0,3.0,35.0,24.0,11.0
2020-05-17,64.0,2.0,32.0,23.0,9.0
2020-05-16,67.0,2.0,32.0,23.0,9.0
2020-05-15,68.0,2.0,32.0,23.0,9.0
2020-05-14,58.0,2.0,32.0,23.0,9.0
2020-05-13,53.0,2.0,31.0,23.0,8.0
2020-05-12,66.0,3.0,32.0,21.0,11.0
2020-05-11,62.0,,32.0,21.0,11.0
2020-05-10,82.0,3.0,31.0,20.0,11.0
